"","clean_word","lang","sample_id","word_id","word.x","surp","shannon","renyi","word.y","total_rt","gaze_rt","firstfix_rt","model","freq","len","prev_surp","prev2_surp","prev_freq","prev2_freq","prev_len","prev2_len","prev_shannon","prev2_shannon","prev_renyi","prev2_renyi","prev_sample","prev2_sample"
"1","αρχαία","gr",1,2,"αρχαία",3.36414432525635,5.07149362564087,7.601487159729,"αρχαία",370.388888888889,291.888888888889,192.194444444444,"taint_none",4.82,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","ρωμαϊκή","gr",1,3,"ρωμαϊκή",6.26510906219482,3.16241812705994,6.33351135253906,"ρωμαϊκή",371.277777777778,286.694444444444,219.916666666667,"taint_none",3.75,7,3.36414432525635,NA,4.82,NA,6,NA,5.07149362564087,NA,7.601487159729,NA,1,NA
"3","θρησκεία","gr",1,4,"θρησκεία",4.84032964706421,3.56920337677002,6.59507369995117,"θρησκεία",322.805555555556,269.277777777778,211.333333333333,"taint_none",4.46,8,6.26510906219482,3.36414432525635,3.75,4.82,7,6,3.16241812705994,5.07149362564087,6.33351135253906,7.601487159729,1,1
"4","και","gr",1,5,"και",2.58704733848572,2.82055807113647,5.92415332794189,"και",145.083333333333,131.972222222222,131.972222222222,"taint_none",7.51,3,4.84032964706421,6.26510906219482,4.46,3.75,8,7,3.56920337677002,3.16241812705994,6.59507369995117,6.33351135253906,1,1
"5","μυθολογία","gr",1,6,"μυθολογία,",3.78888922929764,4.09774351119995,6.70220279693604,"μυθολογία,",454.611111111111,372.083333333333,247.694444444444,"taint_none",3.9,9,2.58704733848572,4.84032964706421,7.51,4.46,3,8,2.82055807113647,3.56920337677002,5.92415332794189,6.59507369995117,1,1
"6","ο","gr",1,7,"ο",0.81708300113678,2.53285789489746,6.08935165405273,"ο",49,49,49,"taint_none",7.14,1,3.78888922929764,2.58704733848572,3.9,7.51,9,3,4.09774351119995,2.82055807113647,6.70220279693604,5.92415332794189,1,1
"7","Ιανός","gr",1,8,"Ιανός",9.26172208786011,6.43569612503052,7.86318683624268,"Ιανός",512.194444444444,397.611111111111,331.222222222222,"taint_none",0,5,0.81708300113678,3.78888922929764,7.14,3.9,1,9,2.53285789489746,4.09774351119995,6.08935165405273,6.70220279693604,1,1
"8","ήταν","gr",1,9,"ήταν",1.26682043075562,4.32887172698975,7.08656072616577,"ήταν",281.083333333333,207.555555555556,196.083333333333,"taint_none",6.56,4,9.26172208786011,0.81708300113678,0,7.14,5,1,6.43569612503052,2.53285789489746,7.86318683624268,6.08935165405273,1,1
"9","ο","gr",1,10,"ο",1.8268975019455,3.93250370025635,6.72995328903198,"ο",98.0833333333333,98.0833333333333,98.0833333333333,"taint_none",7.14,1,1.26682043075562,9.26172208786011,6.56,0,4,5,4.32887172698975,6.43569612503052,7.08656072616577,7.86318683624268,1,1
"10","θεός","gr",1,11,"θεός",1.37591850757599,4.09984111785889,6.87147951126099,"θεός",206.027777777778,163.916666666667,159.861111111111,"taint_none",5.03,4,1.8268975019455,1.26682043075562,7.14,6.56,1,4,3.93250370025635,4.32887172698975,6.72995328903198,7.08656072616577,1,1
"11","των","gr",1,12,"των",2.41947674751282,3.2595055103302,6.55061101913452,"των",121.861111111111,99.6388888888889,95.2222222222222,"taint_none",6.85,3,1.37591850757599,1.8268975019455,5.03,7.14,4,1,4.09984111785889,3.93250370025635,6.87147951126099,6.72995328903198,1,1
"12","εκκινήσεων","gr",1,13,"εκκινήσεων",14.6713010072708,5.62733364105225,7.50812768936157,"εκκινήσεων",677.333333333333,468.055555555556,208.277777777778,"taint_none",0,10,2.41947674751282,1.37591850757599,6.85,5.03,3,4,3.2595055103302,4.09984111785889,6.55061101913452,6.87147951126099,1,1
"13","και","gr",1,14,"και",2.32354879379272,3.32812786102295,6.30637264251709,"και",70.4444444444444,62.9166666666667,59.6944444444444,"taint_none",7.51,3,14.6713010072708,2.41947674751282,0,6.85,10,3,5.62733364105225,3.2595055103302,7.50812768936157,6.55061101913452,1,1
"14","των","gr",1,15,"των",1.11479330062866,4.17464399337769,7.28150224685669,"των",147.194444444444,125.805555555556,115.611111111111,"taint_none",6.85,3,2.32354879379272,14.6713010072708,7.51,0,3,10,3.32812786102295,5.62733364105225,6.30637264251709,7.50812768936157,1,1
"15","μεταβάσεων","gr",1,16,"μεταβάσεων.",13.1449576690793,5.91331672668457,7.66633987426758,"μεταβάσεων.",771.222222222222,511.916666666667,252.944444444444,"taint_none",0,10,1.11479330062866,2.32354879379272,6.85,7.51,3,3,4.17464399337769,3.32812786102295,7.28150224685669,6.30637264251709,1,1
